epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,3428.43,1.02907,0.7627,1.33979,0.74187,0.68365,0.79162,0.54029,1.17365,0.88358,1.44752,0.0002444,0.0002444,0.0002444
135,3446.58,1.02214,0.74265,1.32417,0.741,0.71718,0.80335,0.55946,1.14411,0.85395,1.43409,0.0002312,0.0002312,0.0002312
136,3464.93,1.01869,0.74222,1.32187,0.69843,0.75469,0.80119,0.55681,1.14601,0.85774,1.43545,0.000218,0.000218,0.000218
137,3483.16,1.00658,0.7441,1.31741,0.7343,0.71046,0.80419,0.55761,1.14426,0.85024,1.43142,0.0002048,0.0002048,0.0002048
138,3501.29,1.01,0.73061,1.31398,0.73075,0.72386,0.80225,0.5526,1.1504,0.85919,1.42683,0.0001916,0.0001916,0.0001916
139,3519.66,1.00778,0.72281,1.30549,0.72413,0.71716,0.79818,0.54767,1.17343,0.86957,1.44036,0.0001784,0.0001784,0.0001784
140,3537.96,0.98491,0.70465,1.29977,0.73004,0.73226,0.80491,0.55788,1.1609,0.85177,1.43103,0.0001652,0.0001652,0.0001652
141,3556.23,0.9978,0.72215,1.30702,0.72882,0.73727,0.80718,0.56102,1.14423,0.85056,1.42879,0.000152,0.000152,0.000152
142,3574.71,0.99131,0.70998,1.30526,0.70835,0.74881,0.80544,0.55614,1.15723,0.84333,1.43504,0.0001388,0.0001388,0.0001388
143,3593.01,0.98566,0.70373,1.29769,0.72932,0.74405,0.80683,0.56107,1.15038,0.84404,1.43403,0.0001256,0.0001256,0.0001256
144,3611.27,0.98948,0.71228,1.30369,0.73967,0.72366,0.80401,0.56011,1.15393,0.84361,1.43753,0.0001124,0.0001124,0.0001124
145,3629.54,0.98398,0.69385,1.29419,0.75725,0.70669,0.80477,0.56021,1.13632,0.8356,1.4307,9.92e-05,9.92e-05,9.92e-05
146,3647.79,0.98198,0.69308,1.28256,0.72829,0.73861,0.81247,0.56794,1.13252,0.82841,1.4338,8.6e-05,8.6e-05,8.6e-05
147,3666.76,0.97399,0.69017,1.29046,0.73768,0.73508,0.80932,0.56818,1.12959,0.82602,1.43693,7.28e-05,7.28e-05,7.28e-05
148,3685.76,0.96886,0.68991,1.29434,0.74091,0.72788,0.80812,0.56749,1.12249,0.83152,1.42936,5.96e-05,5.96e-05,5.96e-05
149,3704,0.96005,0.67805,1.28592,0.7511,0.72407,0.81406,0.5692,1.13869,0.82315,1.4243,4.64e-05,4.64e-05,4.64e-05
150,3722.98,0.96797,0.68301,1.28753,0.74116,0.7408,0.8163,0.57018,1.12881,0.81689,1.42572,3.32e-05,3.32e-05,3.32e-05
